District,Seat held in 2015-16,Party,Year elected to Senate (contiguous terms),STATUS,Website,,,,,Notes,
49,Melisa Franzen,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1208#leg_service,,,,,,
50,Melissa Halvorson Wiklund,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1209#leg_service,,,,,Unopposed?,
51,Jim Carlson,DFL,2006,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1140,,,,,,
52,James Metzen,DFL,1986,retiring,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1037#leg_service,,,,,,
53,Susan Kent,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1215#leg_service,,,,,,
54,Katie Sieben,DFL,2002,retiring,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1115#leg_service,,,,,,
55,Eric Pratt,R,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1210#leg_service,,,,,,
56,Dan Hall,R,2010,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1182#leg_service,,,,,,
57,Greg Clausen,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1211#leg_service,,,,,,
58,Dave Thompson,R,2010,retiring,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1180#leg_service,,,,,,
59,Bobby Joe Champion,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1212#leg_service,,,,,,
60,Kari Dziedzic,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1193#leg_service,,,,,unopposed?,
61,Scott Dibble,DFL,2002,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1010#leg_service,,,,,,
62,Jeff Hayden,DFL,2011,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1191#leg_service,,,,,,
63,Patricia Torres Ray,DFL,2006,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1151#leg_service,,,,,,
64,Dick Cohen,DFL,1986,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1008#leg_service,,,,,,
65,Sandy Pappas,DFL,1990,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1046#leg_service,,,,,,
66,John Marty,DFL,1986,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1035#leg_service,,,,,,
67,Foung Hawj,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1213#leg_service,,,,,,
,,,,,,,,,,,
SOURCE: Minnesota Senate; Minnesota Secretary of State,,,,,,,,,,,
List of legislative retirements: https://www.leg.state.mn.us/lrl/histleg/retire,,,,,,,,,,,
Sitting senators: http://www.senate.leg.state.mn.us/members/index.php?ls=#dist,,,,,,,,,,,
